year,month,day,date,avg_temp,med_temp,avg_dewpt_temp,med_dewpt_temp,avg_rel_hum_pct,med_rel_hum_pct,avg_wind_dir,med_wind_dir,avg_wind_spd,med_wind_spd,avg_visib,med_visib,avg_stn_press,med_stn_press,avg_hmdx,med_hmdx,avg_wind_chill,med_wind_chill
2013,3,12,2013-03-12,8.175,9.75,5.012499999999999,6.25,80.45833333333333,81,11.375,12,20.625,20,13.887500000000001,12.9,101.605,101.57,26,26,-5,-5
2013,3,13,2013-03-13,10.058333333333334,10,6.65,6.8,79.41666666666667,79,12.666666666666666,13,17,16,14.408333333333333,16.1,101.87,101.845,26,26,-5,-5
2013,3,14,2013-03-14,9.675,9.850000000000001,6.179166666666666,6.449999999999999,78.75,79.5,10.166666666666666,10,12.541666666666666,13,17.5625,19.3,101.6875,101.66499999999999,26,26,-5,-5
2013,3,15,2013-03-15,9.570833333333333,8.85,5.820833333333334,5.4,77.5,78,9.375,9,10.5,9,21.633333333333333,24.1,102.06625,102.07499999999999,26,26,-5,-5
2013,3,16,2013-03-16,6.966666666666667,6.65,4.104166666666667,3.3,82.58333333333333,83,18.833333333333332,17,20.458333333333332,16,26.675,24.1,101.31666666666666,101.23,26,26,-5,-5
2013,3,17,2013-03-17,6.291666666666667,6.300000000000001,0.4416666666666667,0.3,66.45833333333333,66.5,25.916666666666668,26.5,25.541666666666668,24,29.500000000000004,32.2,101.78666666666666,101.88,26,26,-5,-5
2013,3,18,2013-03-18,6.4375,6.5,1.0041666666666667,0.8500000000000001,69,65.5,22.541666666666668,25,24.958333333333332,25,28.370833333333337,32.2,102.00875,102.055,26,26,-5,-5
2013,3,19,2013-03-19,5.195833333333333,5.35,0.8208333333333331,-0.2,75.54166666666667,83.5,10.166666666666666,10,14.375,13,31.6625,32.2,101.43916666666667,101.58,26,26,-5,-5
2013,3,20,2013-03-20,7.304166666666666,6.5,4.391666666666667,4.65,82.91666666666667,89,18.75,18,31.625,30,21.116666666666667,19.3,99.92875,99.735,26,26,-5,-5
2013,3,21,2013-03-21,5.55,5.1,-0.8166666666666667,-1.4,64.375,62,26.75,27,19,16,42.24999999999999,48.3,101.87875,101.94,26,26,-5,-5
2013,3,22,2013-03-22,4.308333333333334,4,-0.7041666666666667,-0.6499999999999999,70.45833333333333,71,24.708333333333332,30,20.041666666666668,19,48.3,48.3,102.51,102.57,26,26,-5,-5
2013,3,23,2013-03-23,4.8375,5.35,-1.1958333333333333,-1,66.95833333333334,64.5,12.958333333333334,10.5,11.291666666666666,12,32.520833333333336,32.2,102.805,102.83500000000001,26,26,-5,-5
2013,3,24,2013-03-24,6.075,6.55,-0.2416666666666667,-0.8,64.375,64.5,17.041666666666668,11.5,9.333333333333334,11,36.225,32.2,102.39541666666666,102.51,26,26,-5,-5
2013,3,25,2013-03-25,7.804166666666666,7.2,1.2750000000000001,1.5,63.583333333333336,62.5,21.708333333333332,27,8.458333333333334,7,40.920833333333334,48.3,101.77,101.845,26,26,-5,-5
2013,3,26,2013-03-26,8.0125,8.05,3.6500000000000004,3.6,74.125,74.5,22.5,25.5,6.666666666666667,6,32.19166666666667,32.2,101.56708333333333,101.555,26,26,-5,-5
2013,3,27,2013-03-27,9.0625,10.05,5.095833333333333,5.5,76.45833333333333,77,19.125,21,6.666666666666667,6,41.579166666666666,48.3,101.485,101.48,26,26,-5,-5
2013,3,28,2013-03-28,10.529166666666667,10.2,6.020833333333333,6.15,74.20833333333333,72.5,19.791666666666668,23,6.583333333333333,6.5,42.2625,48.3,101.81125,101.84,26,26,-5,-5
2013,3,29,2013-03-29,9.866666666666667,10.2,6.1,6.5,77.5,77.5,22.291666666666668,28,7.083333333333333,6.5,42.93333333333333,48.3,102.35583333333334,102.39,26,26,-5,-5
2013,3,30,2013-03-30,9.695833333333333,9.85,6.329166666666667,6.5,79.75,80,27,30,10.625,12,41.25416666666666,48.3,102.30875,102.46000000000001,26,26,-5,-5
2013,3,31,2013-03-31,10.529166666666667,10.85,6.425,7.3,76.16666666666667,77.5,26.083333333333332,29.5,10.333333333333334,9,41.59166666666667,48.3,101.62,101.72,26,26,-5,-5
2013,4,1,2013-04-01,10.875,11,6.775,7.3,76.5,78.5,11.541666666666666,12,15.5,17,42.2625,48.3,101.72,101.765,26,26,-5,-5
2013,4,2,2013-04-02,10.7,10.4,6.345833333333333,6.4,74.83333333333333,75.5,13.208333333333334,12,12.75,14,29.637500000000003,32.2,102.1625,102.17,26,26,-5,-5
2013,4,3,2013-04-03,10.183333333333334,10.149999999999999,6.35,6.45,77.16666666666667,77.5,21.875,27,7.75,7,32.2,32.2,101.97833333333334,102.08,26,26,-5,-5
2013,4,4,2013-04-04,10.608333333333333,10.850000000000001,8.025,7.85,84.33333333333333,85,18.625,14,7.541666666666667,7,20.925,20.1,100.67625,100.635,26,26,-5,-5
2013,4,5,2013-04-05,10.966666666666667,10.850000000000001,8.458333333333334,8.5,84.79166666666667,85,12.833333333333334,13,17,17,18.833333333333336,16.1,100.68708333333333,100.7,26,26,-5,-5
2013,4,6,2013-04-06,9.6625,9.35,4.920833333333333,4.85,73.45833333333333,76,15.125,16.5,18.833333333333332,20,25.083333333333336,28.150000000000002,100.83375,100.965,26,26,-5,-5
2013,4,7,2013-04-07,7.9875,7.6,4.7875,4.8,80.375,81,21.791666666666668,25.5,17.291666666666668,15,27.475,24.1,100.52416666666667,100.475,26,26,-5,-5
2013,4,8,2013-04-08,9.3,8.5,5.279166666666667,5.3,76.75,80,13.291666666666666,11,12,11,29.837500000000002,32.2,101.88291666666666,102,26,26,-5,-5
2013,4,9,2013-04-09,8.825,8.649999999999999,6.116666666666667,6.25,83.25,83.5,10.708333333333334,10,15.291666666666666,15,19.166666666666668,19.3,102.49833333333333,102.54,26,26,-5,-5
2013,4,10,2013-04-10,10.191666666666666,10.4,7.029166666666667,6.85,81.29166666666667,82.5,19.291666666666668,20.5,24.75,23,26.55416666666667,28.150000000000002,101.62333333333333,101.69999999999999,26,26,-5,-5
2013,4,11,2013-04-11,8.858333333333333,9.05,2.658333333333333,3.1,65.91666666666667,69,23.541666666666668,27,25.333333333333332,32,43.604166666666664,48.3,102.3225,102.315,26,26,-5,-5
2013,4,12,2013-04-12,5.8125,5.85,2.9416666666666664,3.1,82.08333333333333,80.5,13.375,11.5,18.583333333333332,17,21.258333333333336,19.3,101.23416666666667,101.36,26,26,-5,-5
2013,4,13,2013-04-13,6.283333333333333,6.2,1.9333333333333333,2.3,73.91666666666667,74,18.458333333333332,19,16.791666666666668,13,25.7875,24.1,101.05541666666667,101.09,26,26,-5,-5
2013,4,14,2013-04-14,7.0125,6.800000000000001,2.9625,2.8,75.91666666666667,76.5,17.375,13.5,10.416666666666666,9,29.500000000000004,32.2,101.47333333333333,101.525,26,26,-5,-5
2013,4,15,2013-04-15,8.645833333333334,8.15,3.425,4,71.41666666666667,73,17.5,16.5,9.625,9,26.337500000000002,24.1,101.76208333333334,101.805,26,26,-5,-5
2013,4,16,2013-04-16,9.012500000000001,9.45,2.0833333333333335,1.85,62.91666666666667,68,19.458333333333332,21.5,8.75,8,42.5875,48.3,102.6475,102.7,26,26,-5,-5
2013,4,17,2013-04-17,9.766666666666666,9.65,3.3583333333333334,3.8,65.08333333333333,64.5,15.791666666666666,14.5,14.75,15,39.2375,40.25,102.92416666666666,102.92500000000001,26,26,-5,-5
2013,4,18,2013-04-18,8.154166666666667,8.4,6.370833333333334,6.2,88.54166666666667,89,14.041666666666666,14,12.625,14,15.354166666666668,14.5,102.76125,102.91,26,26,-5,-5
2013,4,19,2013-04-19,9.8125,10.05,8.395833333333334,8.5,91.04166666666667,93,15.333333333333334,10,12.25,12,13.387500000000001,8.85,101.87458333333333,101.86500000000001,26,26,-5,-5
2013,4,20,2013-04-20,10.420833333333333,10.2,6.720833333333333,6.6,78.16666666666667,78.5,26.875,28,20.666666666666668,21,27.14166666666667,24.1,102.20625,102.23,26,26,-5,-5
2013,4,21,2013-04-21,8.425,8.95,3.6416666666666666,3.6,72.25,73,23.541666666666668,27.5,16.708333333333332,14,28.15416666666667,32.2,102.47958333333334,102.41499999999999,26,26,-5,-5
2013,4,22,2013-04-22,8.416666666666666,9.25,1.5125,1.25,62.54166666666667,61,19.333333333333332,23,8.75,9,44.94583333333333,48.3,103.24333333333334,103.24000000000001,26,26,-5,-5
2013,4,23,2013-04-23,10,11.05,3.0708333333333337,3,62.583333333333336,63,19.375,13,11.708333333333334,11,41.920833333333334,48.3,102.69208333333333,102.69,26,26,-5,-5
2013,4,24,2013-04-24,11.279166666666667,12,4.3999999999999995,4.6,62.875,62.5,18.5,18.5,6.5,6.5,44.608333333333334,48.3,102.3275,102.465,26,26,-5,-5
2013,4,25,2013-04-25,12.375,13,5.9,6.15,65.25,65,18.416666666666668,15.5,7.875,7,48.3,48.3,101.83083333333333,101.85499999999999,26,26,-5,-5
2013,4,26,2013-04-26,11.845833333333333,12.649999999999999,5.8,5.9,67.5,70.5,11.458333333333334,11,15.416666666666666,16,46.287499999999994,48.3,102.21041666666667,102.19,26,26,-5,-5
2013,4,27,2013-04-27,11.379166666666666,11.3,7.1875,7.15,75.66666666666667,74,13.375,13,15.541666666666666,17,25.870833333333334,24.1,102.02375,102.03,26,26,-5,-5
2013,4,28,2013-04-28,10.291666666666666,10.35,3.2666666666666666,3.1500000000000004,62.333333333333336,62.5,20.916666666666668,19.5,14.958333333333334,16,32.041666666666664,24.1,101.87208333333334,102.08,26,26,-5,-5
2013,4,29,2013-04-29,9.216666666666667,8.9,1.2583333333333333,0.75,58.041666666666664,57,28.083333333333332,29,43.75,43,36.81666666666666,32.2,101.61458333333333,101.72,26,26,-5,-5
2013,4,30,2013-04-30,8.191666666666666,8.2,0.6208333333333335,0.35,59.5,61,25.958333333333332,29,20.333333333333332,17,42.24999999999999,48.3,102.54791666666667,102.64500000000001,26,26,-5,-5
2013,5,1,2013-05-01,9.195833333333333,10.4,2.0625,2.35,62,63.5,19.25,20,9.666666666666666,9,48.3,48.3,103.455,103.495,26,26,-5,-5
2013,5,2,2013-05-02,10.9375,11.5,5.420833333333333,6.050000000000001,69.04166666666667,69,24.833333333333332,29,14.958333333333334,12,46.95833333333333,48.3,103.18458333333334,103.185,26,26,-5,-5
2013,5,3,2013-05-03,11.833333333333334,12.05,7.866666666666666,8.15,77.04166666666667,77.5,28.208333333333332,30,16.208333333333332,15,48.3,48.3,102.77583333333334,102.875,26,26,-5,-5
2013,5,4,2013-05-04,13.570833333333333,13.45,9.308333333333334,9.25,76.04166666666667,76.5,31.041666666666668,31,21.833333333333332,20,48.3,48.3,102.19208333333333,102.36,26,26,-5,-5
2013,5,5,2013-05-05,15.9625,15.95,9.45,10.149999999999999,65.625,67,29.5,30,14,14,48.3,48.3,101.25833333333334,101.33000000000001,26,26,-5,-5
2013,5,6,2013-05-06,17.5625,18.1,9.0375,8.95,58,56.5,21.333333333333332,23.5,5.708333333333333,6,44.275,48.3,100.95916666666666,100.995,26,26,-5,-5
2013,5,7,2013-05-07,15.695833333333333,15.25,10.083333333333334,9.9,69.95833333333333,70,13.833333333333334,12.5,12.958333333333334,14,44.275,48.3,101.25208333333333,101.29,26,26,-5,-5
2013,5,8,2013-05-08,13.983333333333334,13.2,9.791666666666666,9.649999999999999,76.25,78.5,13.083333333333334,12.5,14.333333333333334,15,31.9125,32.2,101.8675,101.91499999999999,26,26,-5,-5
2013,5,9,2013-05-09,14.345833333333333,14.7,10.541666666666666,10.5,78.29166666666667,77.5,16.708333333333332,15.5,10.708333333333334,11,37.358333333333334,32.2,102.12791666666666,102.13499999999999,26,26,-5,-5
2013,5,10,2013-05-10,15.195833333333333,15.3,11.379166666666666,11.7,78.5,79,20.416666666666668,21,7.958333333333333,7,47.62916666666666,48.3,102.11791666666667,102.145,26,26,-5,-5
2013,5,11,2013-05-11,16.379166666666666,15.95,11.4875,11.3,74.04166666666667,77,15.166666666666666,12,12.166666666666666,13,28.433333333333334,32.2,101.8475,101.89,26,26,-5,-5
2013,5,12,2013-05-12,15.195833333333333,14.7,13.204166666666667,13.149999999999999,88.04166666666667,89.5,12.958333333333334,13,15.333333333333334,17,13.816666666666666,12.9,101.61458333333333,101.605,26,26,-5,-5
